id,population
ANDEA005N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA006N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA007N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA008N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA013N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA024N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA037N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA038N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA039N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA040N22_B_cf_korineki_Colombia_BOLD_AFG1465,South_America
ANDEA053N22_Bosmina_Colombia_BOLD_AFG0616,South_America
ANDEA054N22_Bosmina_Colombia_BOLD_AFG0616,South_America
ANDEA055N22_Bosmina_Colombia_BOLD_AFG0616,South_America
B_longirostris_Argentina01aa,South_America
B_longirostris_Argentina03aa,South_America
B_longirostris_Argentina04aa,South_America
B_longirostris_Argentina05aa,South_America
B_longirostris_Argentina06aa,South_America
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276,North_America
BACZP1167N16_B_liederi_Canada_BOLD_ABZ8276,North_America
BACZP1230N16_B_liederi_Canada_BOLD_ABZ8276,North_America
BACZP1255N16_B_liederi_Canada_BOLD_ABZ8276,North_America
BACZP386N16_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
BACZP387N16_B_longirostris_Mexico_BOLD_AAD9496,Central_America
BACZP388N16_B_huaronensis_Mexico_BOLD_AAB9669,Central_America
BBCRU025N10_Bosmina_Canada_BOLD_AAV0686,North_America
BBCRU249N12_Bosmina_Canada_BOLD_ACA6834,North_America
BCRUA087N10_Bosmina_United_States_BOLD_AAD9782,North_America
BCRUA088N10_Bosmina_United_States_BOLD_AAD9782,North_America
BCRUA159N10_Bosmina_United_States_BOLD_AAD9782,North_America
BCRUA161N10_Bosmina_United_States_BOLD_AAD9782,North_America
BROA022N21_Bosmina_Brazil_BOLD_AEO1713,South_America
BROA080N21_Bosmina_Brazil_BOLD_AEO1713,South_America
CAISN020N12_Bosmina_Canada_BOLD_AAW7791,North_America
CAISN022N12_Bosmina_Canada_BOLD_AAW7791,North_America
CAISN034N12_Bosmina_Canada_BOLD_AAW7791,North_America
CAISN035N12_Bosmina_Canada_BOLD_AAW7791,North_America
CAISN069N12_Bosmina_Canada_BOLD_ACL8120,North_America
CAISN079N12_B_liederi_Canada_BOLD_ABZ8276,North_America
CAISN914N13_B_sp_Canada_BOLD_AAW7791,North_America
CAZUL101N17_B_tubicen_Mexico_BOLD_AAD9782,Central_America
CAZUL102N17_B_tubicen_Mexico_BOLD_AAD9782,Central_America
CAZUL104N17_B_tubicen_Mexico_BOLD_AAD9782,Central_America
CAZUL105N17_B_tubicen_Mexico_BOLD_AAD9782,Central_America
